Wavenumber,Absorbance
3030.31481,-0.01219
3028.25757,-0.01191
3026.20033,-0.01173
3024.14309,-0.01174
3022.08585,-0.01191
3020.0286,-0.01212
3017.97136,-0.01224
3015.91412,-0.01222
3013.85688,-0.0121
3011.79964,-0.01201
3009.7424,-0.01203
3007.68516,-0.01211
3005.62792,-0.01216
3003.57068,-0.01216
3001.51344,-0.01214
2999.4562,-0.01208
2997.39896,-0.01186
2995.34172,-0.01141
2993.28448,-0.01101
2991.22724,-0.01087
2989.17,-0.01091
2987.11276,-0.0108
2985.05552,-0.01029
2982.99828,-0.00949
2980.94104,-0.00869
2978.8838,-0.00787
2976.82656,-0.00697
2974.76932,-0.00594
2972.71208,-0.00457
2970.65484,-0.00283
2968.5976,-0.00099
2966.54036,0.00085
2964.48312,0.00286
2962.42588,0.00494
2960.36864,0.00681
2958.3114,0.00869
2956.25416,0.01093
2954.19692,0.01356
2952.13968,0.01659
2950.08244,0.01995
2948.0252,0.02344
2945.96796,0.02711
2943.91072,0.03114
2941.85348,0.03553
2939.79624,0.04032
2937.739,0.04581
2935.68176,0.05225
2933.62452,0.05953
2931.56728,0.06753
2929.51004,0.07625
2927.4528,0.08578
2925.39556,0.09591
2923.33832,0.10587
2921.28108,0.11425
2919.22384,0.11897
2917.1666,0.11795
2915.10936,0.11039
2913.05211,0.09765
2910.99487,0.08288
2908.93763,0.06941
2906.88039,0.05886
2904.82315,0.05105
2902.76591,0.04515
2900.70867,0.04027
2898.65143,0.03593
2896.59419,0.03223
2894.53695,0.02935
2892.47971,0.02697
2890.42247,0.02466
2888.36523,0.02252
2886.30799,0.02094
2884.25075,0.02006
2882.19351,0.01969
2880.13627,0.01976
2878.07903,0.02031
2876.02179,0.02136
2873.96455,0.0229
2871.90731,0.02486
2869.85007,0.02718
2867.79283,0.03
2865.73559,0.03368
2863.67835,0.03876
2861.62111,0.0457
2859.56387,0.05439
2857.50663,0.06443
2855.44939,0.07593
2853.39215,0.08862
2851.33491,0.09953
2849.27767,0.10299
2847.22043,0.09503
2845.16319,0.07782
2843.10595,0.05795
2841.04871,0.04088
2838.99147,0.02839
2836.93423,0.01983
2834.87699,0.01389
2832.81975,0.00955
2830.76251,0.00616
2828.70527,0.00336
2826.64803,0.001
2824.59079,-0.00099
2822.53355,-0.00262
2820.47631,-0.00374
2818.41907,-0.00427
2816.36183,-0.00452
2814.30459,-0.00478
2812.24735,-0.00502
2810.19011,-0.00514
2808.13286,-0.0051
2806.07562,-0.00492
2804.01838,-0.00466
2801.96114,-0.00446
2799.9039,-0.00444
2797.84666,-0.00464
2795.78942,-0.00499
2793.73218,-0.0055
2791.67494,-0.00614
2789.6177,-0.00676
2787.56046,-0.00724
2785.50322,-0.00759
2783.44598,-0.00794
2781.38874,-0.00844
2779.3315,-0.00905
2777.27426,-0.00955
2775.21702,-0.00991
2773.15978,-0.01018
2771.10254,-0.0103
2769.0453,-0.0104
2766.98806,-0.01065
2764.93082,-0.01091
2762.87358,-0.01103
2760.81634,-0.01116
2758.7591,-0.0114
2756.70186,-0.01173
2754.64462,-0.01203
2752.58738,-0.01209
2750.53014,-0.01182
2748.4729,-0.01134
2746.41566,-0.01098
2744.35842,-0.01101
2742.30118,-0.01123
2740.24394,-0.01134
2738.1867,-0.01144
2736.12946,-0.0116
2734.07222,-0.01165
2732.01498,-0.01152
2729.95774,-0.01136
2727.9005,-0.01143
2725.84326,-0.01183
2723.78602,-0.01224
2721.72878,-0.01238
2719.67154,-0.01239
2717.6143,-0.01241
2715.55706,-0.01243
2713.49982,-0.01239
2711.44258,-0.01248
2709.38534,-0.01276
2707.3281,-0.01297
2705.27086,-0.01299
2703.21362,-0.01289
2701.15637,-0.01264
2699.09913,-0.01227
2697.04189,-0.01197
2694.98465,-0.01187
2692.92741,-0.01202
2690.87017,-0.01229
2688.81293,-0.0125
2686.75569,-0.01268
2684.69845,-0.01292
2682.64121,-0.0131
2680.58397,-0.01315
2678.52673,-0.01314
2676.46949,-0.01314
2674.41225,-0.01302
2672.35501,-0.01275
2670.29777,-0.01258
2668.24053,-0.0126
2666.18329,-0.01269
2664.12605,-0.01281
2662.06881,-0.01301
2660.01157,-0.01331
2657.95433,-0.01366
2655.89709,-0.01397
2653.83985,-0.01409
2651.78261,-0.01391
2649.72537,-0.01373
2647.66813,-0.01382
2645.61089,-0.01396
2643.55365,-0.01386
2641.49641,-0.01363
2639.43917,-0.0135
2637.38193,-0.01348
2635.32469,-0.01349
2633.26745,-0.0135
2631.21021,-0.01356
2629.15297,-0.01365
2627.09573,-0.01365
2625.03849,-0.01349
2622.98125,-0.01329
2620.92401,-0.01324
2618.86677,-0.0134
2616.80953,-0.01371
2614.75229,-0.01397
2612.69505,-0.01404
2610.63781,-0.01397
2608.58057,-0.01394
2606.52333,-0.01392
2604.46609,-0.01384
2602.40885,-0.01369
2600.35161,-0.01345
2598.29437,-0.01316
2596.23712,-0.01305
2594.17988,-0.0132
2592.12264,-0.0135
2590.0654,-0.0138
2588.00816,-0.01398
2585.95092,-0.014
2583.89368,-0.0139
2581.83644,-0.01382
2579.7792,-0.01389
2577.72196,-0.01402
2575.66472,-0.01399
